Year,Country Name,Armed forces personnel (% of total labor force),"Armed forces personnel, total",Arms exports (SIPRI trend indicator values),Arms imports (SIPRI trend indicator values),Military expenditure (% of GDP),Military expenditure (% of general government expenditure),Military expenditure (current USD),"Intentional homicides (per 100,000 people)","Population, total"
1990,India,0.430432735,1260000,7000000,2861000000,3.14621461,12.40058387,10537035450,5.073455128,870452165
1990,Germany,1.409950145,545000,1856000000,716000000,2.518432707,0,39834666880,1.172984378,79433029
1990,Spain,1.699124137,263000,117000000,699000000,2.293305209,5.328566116,11695038645,1.244431406,38867322
1990,Israel,9.996311887,190000,86000000,81000000,12.36268619,0,6528767331,3.060425287,4660000
1990,United States,1.71178246,2180000,10606000000,363000000,5.605175294,0,3.25129E+11,9.447616662,249623000
1990,China,0.547616039,3500000,949000000,306000000,2.454016116,13.7473617,9926349251,0,1135185000
2000,India,0.602535276,2372000,21000000,983000000,2.948929906,11.50305704,14287514241,4.545627523,1059633675
2000,Germany,0.554610705,221100,1653000000,113000000,1.358883033,2.855336154,26497593164,1.672559106,82211508
2000,Spain,1.325506668,241800,47000000,320000000,1.725517988,4.401431994,10273779252,1.357333293,40567864
2000,Israel,6.503574083,180500,371000000,354000000,6.297164983,14.07034895,8327543753,2.51759126,6289000
2000,United States,0.995310683,1454800,7651000000,302000000,3.112242147,0,3.20086E+11,5.519150073,282162411
2000,China,0.534157431,3910000,310000000,2517000000,1.835759685,11.33874317,22237140151,0,1262645000
2010,India,0.560248978,2625586,5000000,2898000000,2.889463272,9.864230324,46090445657,3.744921001,1240613620
2010,Germany,0.599449312,251465,2373000000,282000000,1.266826626,2.631457607,43025915012,0.975098829,81776930
2010,Spain,0.950583142,223216,273000000,272000000,1.387378124,3.013786539,19710785450,0.861018098,46576897
2010,Israel,5.299143925,184550,644000000,71000000,5.936345029,14.69339546,13875211596,2.046818936,7623600
2010,United States,0.997357508,1569417,8336000000,1085000000,4.904023332,0,7.38005E+11,4.730980591,309327143
2010,China,0.380462381,2945000,1472000000,942000000,1.733519862,6.969115845,1.05523E+11,0.994665915,1337705000
2012,India,0.573225749,2728700,0,4396000000,2.618166348,9.272621064,47216920048,3.72526295,1274487215
2012,Germany,0.445481094,186450,730000000,131000000,1.241677479,2.764321268,43798225349,0.808137139,80425823
2012,Spain,0.914730836,215600,266000000,219000000,1.4236304,2.925944013,18860623363,0.778508353,46773055
2012,Israel,5.091167776,184500,462000000,127000000,5.64197274,13.94814245,14524419594,1.685961708,7910500
2012,United States,0.941731306,1492200,8999000000,1210000000,4.46170997,0,7.25205E+11,4.691595776,313877662
2012,China,0.384241109,2993000,1520000000,1573000000,1.700942672,6.035395859,1.45128E+11,0.825868842,1354190000
2014,India,0.576724683,2749700,40000000,3330000000,2.543981765,9.50479049,50914096277,3.62257613,1307246509
2014,Germany,0.420647132,178600,1822000000,95000000,1.149941997,2.595628711,44662831168,0.874676616,80982500
2014,Spain,0.866126957,200000,962000000,108000000,1.253912424,2.780629228,17178549315,0.695153602,46480882
2014,Israel,4.861047805,184500,386000000,549000000,5.64291163,14.69445499,17737375714,1.373373705,8215700
2014,United States,0.865769585,1381250,9588000000,591000000,3.690960761,0,6.47789E+11,4.398293846,318386329
2014,China,0.383687244,2993000,1308000000,1082000000,1.738409288,5.989543004,1.82109E+11,0.727914756,1371860000
2016,India,0.625693576,2981050,49000000,2782000000,2.543151521,9.079497386,56637622641,3.161426203,1338636340
2016,Germany,0.41108884,179100,2529000000,55000000,1.151230373,2.595566301,39909678594,1.169662774,82348669
2016,Spain,0.86149974,197950,480000000,104000000,1.137135909,2.68068233,14014439635,0.632621107,46484062
2016,Israel,4.690516183,184500,1226000000,622000000,5.414782054,14.30743994,17434558599,1.274664607,8546000
2016,United States,0.830046813,1348400,9769000000,458000000,3.422587975,0,6.39856E+11,5.321655653,323071755
2016,China,0.345280725,2695000,2449000000,1143000000,1.76888659,5.476725642,1.98538E+11,0.615882984,1387790000
2017,India,0.636905655,3031000,56000000,2892000000,2.531511361,9.389757969,64559435281,3.028882799,1354195680
2017,Germany,0.410780449,180000,1866000000,43000000,1.153403721,2.610978311,42281112685,0.983971146,82657002
2017,Spain,0.855974028,196000,820000000,82000000,1.23002911,2.986397357,16043533257,0.65902216,46593236
2017,Israel,4.451660469,178000,1187000000,535000000,5.430061036,14.18520462,19357002461,1.480276756,8713300
2017,United States,0.82880243,1359000,11732000000,527000000,3.320540912,0,6.46753E+11,5.243923549,325122128
2017,China,0.346100878,2695000,1617000000,1306000000,1.711242644,5.262867288,2.10443E+11,0.566555784,1396215000
2018,India,0.637519379,3026500,47000000,2118000000,2.424284526,9.102595967,66257801718,2.993783858,1369003306
2018,Germany,0.41288231,181400,1106000000,14000000,1.170548545,2.638925706,46497675956,0.950580714,82905782
2018,Spain,0.856295664,196350,705000000,149000000,1.254333772,3.009404632,17823271131,0.617626377,46797754
2018,Israel,4.357647204,177500,1122000000,494000000,5.282828589,13.50599861,19899819040,1.371728649,8882800
2018,United States,0.834689346,1379800,9674000000,380000000,3.323866404,0,6.82491E+11,4.929848302,326838199
2018,China,0.347169212,2695000,1372000000,2119000000,1.673578209,5.048501629,2.32531E+11,0.531025484,1402760000
2019,India,0.60773102,3045000,18000000,3470000000,2.548622174,9.13684004,71468900524,2.92666093,1383112050
2019,Germany,0.414099699,184000,1020000000,38000000,1.262150257,2.805261157,49079444693,0.749265098,83092962
2019,Spain,0.86001817,199000,308000000,35000000,1.232704918,2.929850373,17189319301,0.702292308,47134837
2019,Israel,4.315145239,178000,348000000,519000000,5.052846153,13.13273137,20339225589,1.53347159,9054000
2019,United States,0.830637795,1388000,10888000000,890000000,3.43456772,0,7.34344E+11,4.985946527,328329953
2019,China,0.326961305,2535000,1585000000,1503000000,1.682911012,4.906764301,2.40333E+11,0.518966641,1407745000
2020,India,0.617396321,3068000,151000000,2847000000,2.812527562,8.775213324,72937064048,2.911155454,1396387127
2020,Germany,0.420678147,183000,1172000000,53000000,1.373585715,2.732063142,53318705118,0.93844894,83160871
2020,Spain,0.871349533,199000,971000000,71000000,1.367893602,2.59959985,17431779323,0.629172397,47365655
2020,Israel,4.356153213,178000,381000000,367000000,5.275350241,11.80823362,21816569767,1.427349699,9215100
2020,United States,0.842179473,1395000,9426000000,801000000,3.696009828,0,7.78397E+11,6.420751134,331511512
2020,China,0.337349443,2535000,704000000,884000000,1.756699471,4.772260183,2.57973E+11,0.502270364,1411100000
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,,,
